,Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,Lat,Lon,Address
1,C01,Metro Center,A01,,BL,OR,SV,,38.898303,-77.028099,"{'Street': '607 13th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,C02,McPherson Square,,,BL,OR,SV,,38.901316,-77.033652,"{'Street': '1400 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,C03,Farragut West,,,BL,OR,SV,,38.901311,-77.03981,"{'Street': '900 18th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20006'}"
1,C04,Foggy Bottom-GWU,,,BL,OR,SV,,38.900599,-77.050273,"{'Street': '2301 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20037'}"
1,C05,Rosslyn,,,BL,OR,SV,,38.896595,-77.07146,"{'Street': '1850 N. Moore Street', 'City': 'Arlington', 'State': 'VA', 'Zip': '22209'}"
1,C06,Arlington Cemetery,,,BL,,,,38.884574,-77.063108,"{'Street': '1000 North Memorial Drive', 'City': 'Arlington', 'State': 'VA', 'Zip': '22211'}"
1,C07,Pentagon,,,BL,YL,,,38.869349,-77.054013,"{'Street': '2 South Rotary Road', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C08,Pentagon City,,,BL,YL,,,38.863045,-77.059507,"{'Street': '1250 South Hayes St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C09,Crystal City,,,BL,YL,,,38.85779,-77.050589,"{'Street': '1750 South Clark St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C10,Ronald Reagan Washington National Airport,,,BL,YL,,,38.852985,-77.043805,"{'Street': '2400 S. Smith Blvd.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C12,Braddock Road,,,BL,YL,,,38.814009,-77.053763,"{'Street': '700 N. West St.', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22301'}"
1,C13,King St-Old Town,,,BL,YL,,,38.806474,-77.061115,"{'Street': '1900 King Street', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22301'}"
1,D01,Federal Triangle,,,BL,OR,SV,,38.893757,-77.028218,"{'Street': '302 12th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
1,D02,Smithsonian,,,BL,OR,SV,,38.888022,-77.028232,"{'Street': '1200 Independence Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
1,D03,L'Enfant Plaza,F03,,BL,OR,SV,,38.884775,-77.021964,"{'Street': '600 Maryland Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
1,D04,Federal Center SW,,,BL,OR,SV,,38.884958,-77.01586,"{'Street': '401 3rd Street SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
1,D05,Capitol South,,,BL,OR,SV,,38.884968,-77.005137,"{'Street': '355 First Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D06,Eastern Market,,,BL,OR,SV,,38.884124,-76.995334,"{'Street': '701 Pennsylvania Avenue SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D07,Potomac Ave,,,BL,OR,SV,,38.880841,-76.985721,"{'Street': '700 14th Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D08,Stadium-Armory,,,BL,OR,SV,,38.88594,-76.977485,"{'Street': '192 19th St. SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,G01,Benning Road,,,BL,SV,,,38.890488,-76.938291,"{'Street': '4500 Benning Road', 'City': 'Washington', 'State': 'DC', 'Zip': '20019'}"
1,G02,Capitol Heights,,,BL,SV,,,38.889757,-76.913382,"{'Street': '133 Central Avenue', 'City': 'Capitol Heights', 'State': 'MD', 'Zip': '20743'}"
1,G03,Addison Road-Seat Pleasant,,,BL,SV,,,38.886713,-76.893592,"{'Street': '100 Addison Road S.', 'City': 'Capitol Heights', 'State': 'MD', 'Zip': '20743'}"
1,G04,Morgan Boulevard,,,BL,SV,,,38.8913,-76.8682,"{'Street': '300 Garrett Morgan Blvd.', 'City': 'Landover', 'State': 'MD', 'Zip': '20785'}"
1,G05,Largo Town Center,,,BL,SV,,,38.9008,-76.8449,"{'Street': 'Largo Town Center 9000 Lottsford Road', 'City': 'Largo', 'State': 'MD', 'Zip': '20774'}"
1,J02,Van Dorn Street,,,BL,,,,38.799193,-77.129407,"{'Street': '5690 Eisenhower Avenue', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22310'}"
1,J03,Franconia-Springfield,,,BL,,,,38.766129,-77.168797,"{'Street': '6880 Frontier Drive', 'City': 'Springfield', 'State': 'VA', 'Zip': '22150'}"
1,E01,Mt Vernon Sq 7th St-Convention Center,,,GR,YL,,,38.905604,-77.022256,"{'Street': '700 M St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
1,E02,Shaw-Howard U,,,GR,YL,,,38.912919,-77.022194,"{'Street': '1701 8th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
1,E03,U Street/African-Amer Civil War Memorial/Cardozo,,,GR,YL,,,38.916489,-77.028938,"{'Street': '1240 U Street NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20009'}"
1,E04,Columbia Heights,,,GR,YL,,,38.928672,-77.032775,"{'Street': '3030 14th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20009'}"
1,E05,Georgia Ave-Petworth,,,GR,YL,,,38.936077,-77.024728,"{'Street': '3700 Georgia Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20010'}"
1,E06,Fort Totten,B06,,GR,YL,,,38.951777,-77.002174,"{'Street': '550 Galloway Street NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20011'}"
1,E07,West Hyattsville,,,GR,,,,38.954931,-76.969881,"{'Street': '2700 Hamilton St.', 'City': 'Hyattsville', 'State': 'MD', 'Zip': '20782'}"
1,E08,Prince George's Plaza,,,GR,,,,38.965276,-76.956182,"{'Street': '3575 East West Highway', 'City': 'Hyattsville', 'State': 'MD', 'Zip': '20782'}"
1,E09,College Park-U of Md,,,GR,,,,38.978523,-76.928432,"{'Street': '4931 Calvert Road', 'City': 'College Park', 'State': 'MD', 'Zip': '20740'}"
1,E10,Greenbelt,,,GR,,,,39.011036,-76.911362,"{'Street': '5717 Greenbelt Metro Drive', 'City': 'Greenbelt', 'State': 'MD', 'Zip': '20740'}"
1,F01,Gallery Pl-Chinatown,B01,,GR,YL,,,38.89834,-77.021851,"{'Street': '630 H St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
1,F02,Archives-Navy Memorial-Penn Quarter,,,GR,YL,,,38.893893,-77.021902,"{'Street': '701 Pennsylvania Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
1,F03,L'Enfant Plaza,D03,,GR,YL,,,38.884775,-77.021964,"{'Street': '600 Maryland Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
1,F04,Waterfront,,,GR,,,,38.876221,-77.017491,"{'Street': '399 M Street SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
1,F05,Navy Yard-Ballpark,,,GR,,,,38.876588,-77.005086,"{'Street': '200 M Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,F06,Anacostia,,,GR,,,,38.862072,-76.995648,"{'Street': '1101 Howard Road SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20020'}"
1,F07,Congress Heights,,,GR,,,,38.845334,-76.98817,"{'Street': '1290 Alabama Avenue SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20020'}"
1,F08,Southern Avenue,,,GR,,,,38.840974,-76.97536,"{'Street': '1411 Southern Avenue', 'City': 'Temple Hills', 'State': 'MD', 'Zip': '20748'}"
1,F09,Naylor Road,,,GR,,,,38.851187,-76.956565,"{'Street': '3101 Branch Avenue', 'City': 'Temple Hills', 'State': 'MD', 'Zip': '20748'}"
1,F10,Suitland,,,GR,,,,38.843891,-76.932022,"{'Street': '4500 Silver Hill Road', 'City': 'Suitland', 'State': 'MD', 'Zip': '20746'}"
1,F11,Branch Ave,,,GR,,,,38.826995,-76.912134,"{'Street': '4704 Old Soper Road', 'City': 'Suitland', 'State': 'MD', 'Zip': '20746'}"
1,C01,Metro Center,A01,,BL,OR,SV,,38.898303,-77.028099,"{'Street': '607 13th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,C02,McPherson Square,,,BL,OR,SV,,38.901316,-77.033652,"{'Street': '1400 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,C03,Farragut West,,,BL,OR,SV,,38.901311,-77.03981,"{'Street': '900 18th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20006'}"
1,C04,Foggy Bottom-GWU,,,BL,OR,SV,,38.900599,-77.050273,"{'Street': '2301 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20037'}"
1,C05,Rosslyn,,,BL,OR,SV,,38.896595,-77.07146,"{'Street': '1850 N. Moore Street', 'City': 'Arlington', 'State': 'VA', 'Zip': '22209'}"
1,D01,Federal Triangle,,,BL,OR,SV,,38.893757,-77.028218,"{'Street': '302 12th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
1,D02,Smithsonian,,,BL,OR,SV,,38.888022,-77.028232,"{'Street': '1200 Independence Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
1,D03,L'Enfant Plaza,F03,,BL,OR,SV,,38.884775,-77.021964,"{'Street': '600 Maryland Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
1,D04,Federal Center SW,,,BL,OR,SV,,38.884958,-77.01586,"{'Street': '401 3rd Street SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
1,D05,Capitol South,,,BL,OR,SV,,38.884968,-77.005137,"{'Street': '355 First Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D06,Eastern Market,,,BL,OR,SV,,38.884124,-76.995334,"{'Street': '701 Pennsylvania Avenue SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D07,Potomac Ave,,,BL,OR,SV,,38.880841,-76.985721,"{'Street': '700 14th Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D08,Stadium-Armory,,,BL,OR,SV,,38.88594,-76.977485,"{'Street': '192 19th St. SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D09,Minnesota Ave,,,OR,,,,38.898284,-76.948042,"{'Street': '4000 Minnesota Avenue NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20019'}"
1,D10,Deanwood,,,OR,,,,38.907734,-76.936177,"{'Street': '4720 Minnesota Avenue NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20019'}"
1,D11,Cheverly,,,OR,,,,38.91652,-76.915427,"{'Street': '5501 Columbia Park', 'City': 'Cheverly', 'State': 'MD', 'Zip': '20785'}"
1,D12,Landover,,,OR,,,,38.934411,-76.890988,"{'Street': '3000 Pennsy Drive', 'City': 'Hyattsville', 'State': 'MD', 'Zip': '20785'}"
1,D13,New Carrollton,,,OR,,,,38.947674,-76.872144,"{'Street': '4700 Garden City Drive', 'City': 'New Carrollton', 'State': 'MD', 'Zip': '20784'}"
1,K01,Court House,,,OR,SV,,,38.891499,-77.08391,"{'Street': '2100 Wilson Blvd', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
1,K02,Clarendon,,,OR,SV,,,38.886373,-77.096963,"{'Street': '3100 Wilson Blvd', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
1,K03,Virginia Square-GMU,,,OR,SV,,,38.88331,-77.104267,"{'Street': '3600 Fairfax Drive', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
1,K04,Ballston-MU,,,OR,SV,,,38.882071,-77.111845,"{'Street': '4230 Fairfax Drive', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
1,K05,East Falls Church,,,OR,SV,,,38.885841,-77.157177,"{'Street': '2001 N. Sycamore St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22205'}"
1,K06,West Falls Church-VT/UVA,,,OR,,,,38.90067,-77.189394,"{'Street': '7040 Haycock Road', 'City': 'Falls Church', 'State': 'VA', 'Zip': '22043'}"
1,K07,Dunn Loring-Merrifield,,,OR,,,,38.883015,-77.228939,"{'Street': '2700 Gallows Road', 'City': 'Vienna', 'State': 'VA', 'Zip': '22180'}"
1,K08,Vienna/Fairfax-GMU,,,OR,,,,38.877693,-77.271562,"{'Street': '9550 Saintsbury Drive', 'City': 'Fairfax', 'State': 'VA', 'Zip': '22031'}"
1,A01,Metro Center,C01,,RD,,,,38.898303,-77.028099,"{'Street': '607 13th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,A02,Farragut North,,,RD,,,,38.903192,-77.039766,"{'Street': '1001 Connecticut Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20036'}"
1,A03,Dupont Circle,,,RD,,,,38.909499,-77.04362,"{'Street': '1525 20th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20036'}"
1,A04,Woodley Park-Zoo/Adams Morgan,,,RD,,,,38.924999,-77.052648,"{'Street': '2700 Connecticut Ave., NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20008'}"
1,A05,Cleveland Park,,,RD,,,,38.934703,-77.058226,"{'Street': '3599 Connecticut Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20008'}"
1,A06,Van Ness-UDC,,,RD,,,,38.94362,-77.063511,"{'Street': '4200 Connecticut Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20008'}"
1,A07,Tenleytown-AU,,,RD,,,,38.947808,-77.079615,"{'Street': '4501 Wisconsin Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20016'}"
1,A08,Friendship Heights,,,RD,,,,38.960744,-77.085969,"{'Street': '5337 Wisconsin Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20015'}"
1,A09,Bethesda,,,RD,,,,38.984282,-77.094431,"{'Street': '7450 Wisconsin Avenue', 'City': 'Bethesda', 'State': 'MD', 'Zip': '20814'}"
1,A10,Medical Center,,,RD,,,,38.999947,-77.097253,"{'Street': '8810 Rockville Pike', 'City': 'Bethesda', 'State': 'MD', 'Zip': '20814'}"
1,A11,Grosvenor-Strathmore,,,RD,,,,39.029158,-77.10415,"{'Street': '10300 Rockville Pike', 'City': 'Bethesda', 'State': 'MD', 'Zip': '20852'}"
1,A12,White Flint,,,RD,,,,39.048043,-77.113131,"{'Street': '5500 Marinelli Road', 'City': 'Rockville', 'State': 'MD', 'Zip': '20852'}"
1,A13,Twinbrook,,,RD,,,,39.062359,-77.121113,"{'Street': '1600 Chapman Avenue', 'City': 'Rockville', 'State': 'MD', 'Zip': '20852'}"
1,A14,Rockville,,,RD,,,,39.084215,-77.146424,"{'Street': '251 Hungerford Drive', 'City': 'Rockville', 'State': 'MD', 'Zip': '20850'}"
1,A15,Shady Grove,,,RD,,,,39.119819,-77.164921,"{'Street': '15903 Somerville Drive', 'City': 'Rockville', 'State': 'MD', 'Zip': '20855'}"
1,B01,Gallery Pl-Chinatown,F01,,RD,,,,38.89834,-77.021851,"{'Street': '630 H St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
1,B02,Judiciary Square,,,RD,,,,38.896084,-77.016643,"{'Street': '450 F Street NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
1,B03,Union Station,,,RD,,,,38.897723,-77.006745,"{'Street': '701 First St. NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20002'}"
1,B04,Rhode Island Ave-Brentwood,,,RD,,,,38.920741,-76.995984,"{'Street': '919 Rhode Island Avenue NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20018'}"
1,B05,Brookland-CUA,,,RD,,,,38.933234,-76.994544,"{'Street': '801 Michigan Avenue NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20017'}"
1,B06,Fort Totten,E06,,RD,,,,38.951777,-77.002174,"{'Street': '550 Galloway Street NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20011'}"
1,B07,Takoma,,,RD,,,,38.975532,-77.017834,"{'Street': '327 Cedar Street NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20012'}"
1,B08,Silver Spring,,,RD,,,,38.993841,-77.031321,"{'Street': '8400 Colesville Road', 'City': 'Silver Spring', 'State': 'MD', 'Zip': '20910'}"
1,B09,Forest Glen,,,RD,,,,39.015413,-77.042953,"{'Street': '9730 Georgia Avenue', 'City': 'Forest Glen', 'State': 'MD', 'Zip': '20910'}"
1,B10,Wheaton,,,RD,,,,39.038558,-77.051098,"{'Street': '11171 Georgia Avenue', 'City': 'Silver Spring', 'State': 'MD', 'Zip': '20902'}"
1,B11,Glenmont,,,RD,,,,39.061713,-77.05341,"{'Street': '12501 Georgia Avenue', 'City': 'Silver Spring', 'State': 'MD', 'Zip': '20906'}"
1,B35,NoMa-Gallaudet U,,,RD,,,,38.907407,-77.002961,"{'Street': '200 Florida Ave N.E.', 'City': 'Washington', 'State': 'DC', 'Zip': '20002'}"
1,C01,Metro Center,A01,,BL,OR,SV,,38.898303,-77.028099,"{'Street': '607 13th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,C02,McPherson Square,,,BL,OR,SV,,38.901316,-77.033652,"{'Street': '1400 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,C03,Farragut West,,,BL,OR,SV,,38.901311,-77.03981,"{'Street': '900 18th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20006'}"
1,C04,Foggy Bottom-GWU,,,BL,OR,SV,,38.900599,-77.050273,"{'Street': '2301 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20037'}"
1,C05,Rosslyn,,,BL,OR,SV,,38.896595,-77.07146,"{'Street': '1850 N. Moore Street', 'City': 'Arlington', 'State': 'VA', 'Zip': '22209'}"
1,D01,Federal Triangle,,,BL,OR,SV,,38.893757,-77.028218,"{'Street': '302 12th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
1,D02,Smithsonian,,,BL,OR,SV,,38.888022,-77.028232,"{'Street': '1200 Independence Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
1,D03,L'Enfant Plaza,F03,,BL,OR,SV,,38.884775,-77.021964,"{'Street': '600 Maryland Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
1,D04,Federal Center SW,,,BL,OR,SV,,38.884958,-77.01586,"{'Street': '401 3rd Street SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
1,D05,Capitol South,,,BL,OR,SV,,38.884968,-77.005137,"{'Street': '355 First Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D06,Eastern Market,,,BL,OR,SV,,38.884124,-76.995334,"{'Street': '701 Pennsylvania Avenue SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D07,Potomac Ave,,,BL,OR,SV,,38.880841,-76.985721,"{'Street': '700 14th Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,D08,Stadium-Armory,,,BL,OR,SV,,38.88594,-76.977485,"{'Street': '192 19th St. SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
1,G01,Benning Road,,,BL,SV,,,38.890488,-76.938291,"{'Street': '4500 Benning Road', 'City': 'Washington', 'State': 'DC', 'Zip': '20019'}"
1,G02,Capitol Heights,,,BL,SV,,,38.889757,-76.913382,"{'Street': '133 Central Avenue', 'City': 'Capitol Heights', 'State': 'MD', 'Zip': '20743'}"
1,G03,Addison Road-Seat Pleasant,,,BL,SV,,,38.886713,-76.893592,"{'Street': '100 Addison Road S.', 'City': 'Capitol Heights', 'State': 'MD', 'Zip': '20743'}"
1,G04,Morgan Boulevard,,,BL,SV,,,38.8913,-76.8682,"{'Street': '300 Garrett Morgan Blvd.', 'City': 'Landover', 'State': 'MD', 'Zip': '20785'}"
1,G05,Largo Town Center,,,BL,SV,,,38.9008,-76.8449,"{'Street': 'Largo Town Center 9000 Lottsford Road', 'City': 'Largo', 'State': 'MD', 'Zip': '20774'}"
1,K01,Court House,,,OR,SV,,,38.891499,-77.08391,"{'Street': '2100 Wilson Blvd', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
1,K02,Clarendon,,,OR,SV,,,38.886373,-77.096963,"{'Street': '3100 Wilson Blvd', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
1,K03,Virginia Square-GMU,,,OR,SV,,,38.88331,-77.104267,"{'Street': '3600 Fairfax Drive', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
1,K04,Ballston-MU,,,OR,SV,,,38.882071,-77.111845,"{'Street': '4230 Fairfax Drive', 'City': 'Arlington', 'State': 'VA', 'Zip': '22201'}"
1,K05,East Falls Church,,,OR,SV,,,38.885841,-77.157177,"{'Street': '2001 N. Sycamore St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22205'}"
1,N01,McLean,,,SV,,,,38.924478,-77.210167,"{'Street': '1824 Dolley Madison Boulevard', 'City': 'McLean', 'State': 'VA', 'Zip': '22102'}"
1,N02,Tysons Corner,,,SV,,,,38.920056,-77.223314,"{'Street': '1943 Chain Bridge Road', 'City': 'McLean', 'State': 'VA', 'Zip': '22102'}"
1,N03,Greensboro,,,SV,,,,38.919749,-77.235192,"{'Street': '8305 Leesburg Pike', 'City': 'Vienna', 'State': 'VA', 'Zip': '22182'}"
1,N04,Spring Hill,,,SV,,,,38.929273,-77.241988,"{'Street': '1576 Spring Hill Road', 'City': 'Vienna', 'State': 'VA', 'Zip': '22182'}"
1,N06,Wiehle-Reston East,,,SV,,,,38.947753,-77.340179,"{'Street': '1862 Wiehle Avenue', 'City': 'Reston', 'State': 'VA', 'Zip': '20190'}"
1,C07,Pentagon,,,BL,YL,,,38.869349,-77.054013,"{'Street': '2 South Rotary Road', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C08,Pentagon City,,,BL,YL,,,38.863045,-77.059507,"{'Street': '1250 South Hayes St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C09,Crystal City,,,BL,YL,,,38.85779,-77.050589,"{'Street': '1750 South Clark St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C10,Ronald Reagan Washington National Airport,,,BL,YL,,,38.852985,-77.043805,"{'Street': '2400 S. Smith Blvd.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C12,Braddock Road,,,BL,YL,,,38.814009,-77.053763,"{'Street': '700 N. West St.', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22301'}"
1,C13,King St-Old Town,,,BL,YL,,,38.806474,-77.061115,"{'Street': '1900 King Street', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22301'}"
1,C14,Eisenhower Avenue,,,YL,,,,38.800313,-77.071173,"{'Street': '2400 Eisenhower Avenue', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22314'}"
1,C15,Huntington,,,YL,,,,38.793841,-77.075301,"{'Street': '2501 Huntington Ave', 'City': 'Huntington', 'State': 'VA', 'Zip': '22303'}"
1,E01,Mt Vernon Sq 7th St-Convention Center,,,GR,YL,,,38.905604,-77.022256,"{'Street': '700 M St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
1,E02,Shaw-Howard U,,,GR,YL,,,38.912919,-77.022194,"{'Street': '1701 8th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
1,E03,U Street/African-Amer Civil War Memorial/Cardozo,,,GR,YL,,,38.916489,-77.028938,"{'Street': '1240 U Street NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20009'}"
1,E04,Columbia Heights,,,GR,YL,,,38.928672,-77.032775,"{'Street': '3030 14th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20009'}"
1,E05,Georgia Ave-Petworth,,,GR,YL,,,38.936077,-77.024728,"{'Street': '3700 Georgia Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20010'}"
1,E06,Fort Totten,B06,,GR,YL,,,38.951777,-77.002174,"{'Street': '550 Galloway Street NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20011'}"
1,F01,Gallery Pl-Chinatown,B01,,GR,YL,,,38.89834,-77.021851,"{'Street': '630 H St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
1,F02,Archives-Navy Memorial-Penn Quarter,,,GR,YL,,,38.893893,-77.021902,"{'Street': '701 Pennsylvania Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
1,F03,L'Enfant Plaza,D03,,GR,YL,,,38.884775,-77.021964,"{'Street': '600 Maryland Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
